recept,kategorija,podkategorija
1765,ostale jedi,
14602,sladice,piškoti
2223,sladice,pecivo
3048,sladice,pecivo
14562,predjedi,hladne
14607,predjedi,tople
9878,sladice,pecivo
3650,zelenjavne jedi,
14723,sladice,ostalo
9360,predjedi,namazi
5977,sladice,ostalo
4624,sladice,ostalo
6265,morska hrana,ribe
10710,sladice,pecivo
4209,sladice,piškoti
1523,kruh,
12669,mesne jedi,mešano meso
13992,predjedi,hladne
16020,sladice,ostalo
11843,zelenjavne jedi,
3475,sladice,pecivo
10178,mesne jedi,mešano meso
6576,sladice,pecivo
4351,sladice,torte
17240,sladice,pecivo
3607,sladice,ostalo
6405,sladice,pecivo
11385,testenine,
6431,sladice,pecivo
6485,sladice,torte
17048,zelenjavne jedi,
10740,mesne jedi,perutnina
6258,omake,hladne
12093,sladice,potice
4640,omake,tople
10404,ozimnica,sladki shranki
17168,sladice,torte
3459,sladice,ostalo
10899,predjedi,hladne
10983,sladice,torte
3938,sladice,ostalo
18455,sladice,palačinke
5258,sladice,ostalo
18893,sladice,torte
9345,sladice,piškoti
12128,sladice,ostalo
3871,jajčne jedi,ostalo
6036,mesne jedi,perutnina
5863,sladice,pecivo
171,zelenjavne jedi,
16187,sladice,pecivo
14583,sladice,piškoti
18140,enolončnice,
18043,priloge,krompir
350,sladice,ostalo
1925,ozimnica,slani shranki
11984,sladice,piškoti
3174,sladice,piškoti
4990,sladice,torte
12703,sladice,torte
4955,sladice,ostalo
6673,sladice,ostalo
8168,sladice,pecivo
13551,priloge,ostalo
18950,sladice,piškoti
1312,jajčne jedi,omlete
8340,sladice,pecivo
13680,sladice,pecivo
18506,mesne jedi,perutnina
11582,jajčne jedi,omlete
4118,sladice,pecivo
16173,kruh,
10849,sladice,piškoti
276,solate,
5839,enolončnice,
12154,ostale jedi,
11081,sladice,pecivo
10239,mesne jedi,govedina
4496,mesne jedi,svinjina
19909,kruh,
5963,predjedi,hladne
1385,juhe in zakuhe,zelenjavne juhe
5796,sladice,pecivo
7273,sladice,pecivo
6828,mesne jedi,sesekljano meso
16933,sladice,torte
11637,morska hrana,ribe
10458,sladice,torte
16008,testenine,
4796,omake,tople
2600,morska hrana,ostalo
8404,predjedi,hladne
4550,sladice,palačinke
1885,sladice,ostalo
11151,sladice,ostalo
10504,priloge,krompir
6460,sladice,slano pecivo
17259,sladice,pecivo
3406,sladice,ostalo
9924,juhe in zakuhe,zelenjavne juhe
6398,sladice,torte
1891,mesne jedi,mešano meso
6580,napitki,alkoholni
7030,mesne jedi,notranji deli
6129,sirove jedi,
8186,sladice,torte
4407,mesne jedi,govedina
10096,sladice,pecivo
4334,sladice,torte
