id,naslov,objava,avtor,spol,priprava,kolicina,stmnenj,stfoto,zadnjafoto,kategorija,podkategorija,zdravajed,letofoto,letoobjave,idavtorja
4342,Krhki žepki z marmelado,21.11.2004,"{'id': 'jade', 'avtor': 'jade'}",ženska,120,30 piškotov,62,22,6.1.2013,, piškoti,0,2013,2004,jade
3914,Vložen stročji fižol,8.8.2004,"{'id': 'gizelca', 'avtor': 'gizelca'}",ženska,,4 osebe,41,7,23.8.2015,, slani shranki,0,2015,2004,gizelca
13212,Marshmallow fondant,21.11.2009,"{'id': 'ribica', 'avtor': 'ribica'}",spol ni določen oz. marsovec,30,,270,143,13.6.2016,, ostalo,0,2016,2009,ribica
10189,Rafaelo kroglice,29.6.2007,"{'id': 'doriika', 'avtor': 'doriika'}",ženska,30,,70,21,28.12.2015,, pecivo,0,2015,2007,doriika
301,Blejska grmada,29.3.2000,"{'id': 'marinka', 'avtor': 'Marinka'}",ženska,60,,111,17,31.8.2014,, pecivo,0,2014,2000,marinka
9777,Bučke polnjene z mesom,25.2.2007,"{'id': 'mijan', 'avtor': 'Mijan'}",ženska,75,4,61,16,30.10.2014,,,1,2014,2007,mijan
13838,"Kremšnite, kremne rezine-kot z Bleda + VIDEO priprave",26.5.2010,"{'id': 'rokco', 'avtor': 'ROKCO'}",moški,30,15,66,4,12.12.2014,, ostalo,0,2014,2010,rokco
10155,Fina skutina torta,15.6.2007,"{'id': 'mamamia', 'avtor': 'mamamia'}",ženska,60,za model s premerom 26 cm,96,42,21.7.2014,, torte,0,2014,2007,mamamia
5554,Zebrino pecivo,9.10.2005,"{'id': 'e8jorvq209b9tqdr', 'avtor': 'Katja Rožman'}",ženska,90,,179,51,26.5.2016,, pecivo,0,2016,2005,e8jorvq209b9tqdr
11757,Gogina alpska torta,16.9.2008,"{'id': 'gogad', 'avtor': 'gogad'}",ženska,90,12 kosov,204,28,13.8.2016,, torte,0,2016,2008,gogad
10273,Jogurtova torta brez pečenja,30.7.2007,"{'id': 'piaa', 'avtor': 'piaa'}",ženska,30,,35,6,9.7.2015,, torte,0,2015,2007,piaa
7200,Kinder paradiso,20.9.2006,"{'id': '1bdv35xaykwwsb40', 'avtor': 'šjorca'}",ženska,45,1 velik pekač,70,7,2.5.2015,, pecivo,0,2015,2006,1bdv35xaykwwsb40
